,num,ssim_score,ssim_array
0,0,0.9884187107029455,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [1.         1.         1.         ... 0.9999935  0.99999374 0.99999386]
 [1.         1.         1.         ... 0.99999344 0.9999937  0.99999374]
 [1.         1.         1.         ... 0.99999344 0.9999937  0.99999374]]"
0,1,0.9415126186752397,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,2,0.99101716580505,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [1.         1.         1.         ... 0.99999046 0.99999034 0.9999903 ]
 [1.         1.         1.         ... 0.99999034 0.9999902  0.9999902 ]
 [1.         1.         1.         ... 0.99999034 0.9999902  0.9999901 ]]"
0,3,0.9922734747516522,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,4,0.9851753907789601,"[[1.         1.         1.         ... 0.99952805 0.9995269  0.9995257 ]
 [1.         1.         1.         ... 0.99952805 0.9995269  0.9995257 ]
 [1.         1.         1.         ... 0.99953187 0.99953085 0.99952966]
 ...
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]]"
0,5,0.9734189001971009,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,6,0.9999782176074311,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [0.9999995  0.9999978  0.99999714 ... 0.99952835 0.999546   0.9995555 ]
 [0.9999995  0.99999774 0.99999714 ... 0.99950564 0.99952364 0.99953365]
 [0.9999995  0.99999774 0.99999714 ... 0.9994947  0.9995129  0.9995228 ]]"
0,7,0.9072406315075754,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,8,0.9572506617307053,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,9,0.9928220972547084,"[[0.99999946 0.99999946 0.99999946 ... 0.93251896 0.9312005  0.9313218 ]
 [0.99999946 0.99999946 0.99999946 ... 0.93286765 0.9315938  0.93172467]
 [0.99999946 0.99999946 0.99999946 ... 0.940194   0.9398435  0.9402473 ]
 ...
 [1.         0.99999994 0.9999998  ... 0.9999876  0.9999873  0.9999873 ]
 [1.         0.99999994 0.9999998  ... 0.99998736 0.9999871  0.99998707]
 [1.         0.99999994 0.9999998  ... 0.9999873  0.99998707 0.99998707]]"
